zz_kbcx_courseNumber,zzm_courseTitle_noEdit,zzd_semester,zzd_year,zzd_keywords,zze_courseURL
18.S096,Matrix Calculus for Machine Learning and Beyond,IAP,2023,"matrix calculus
machine learning
linear algebra
linear operator
linear approximation
vector space
Kronecker products
vectorization
matrix factorization
Hessian matrices
quadratic approximation
quasi-Newton method",
18.S097,Applied Category Theory ,IAP,2019,"order
adjunction
set
Galois connection
monoidal preorder
wiring diagram
V-categories
Bool-categories
categories
functors
limits
colimits
monoidal categories
hypergraph categories
sheaves
toposes",https://ocw.mit.edu/courses/mathematics/18-s097-applied-category-theory-january-iap-2019
18.S190,"Introduction to Computational Thinking with Julia, with Applications to Modelling the COVID-19 Pandemic",Spring,2020,"computational modeling
mathematical modeling
Covid-19
computational science
artificial intelligence
Julia programming
data science
language
statistical modeling
epidemiology
machine learning
drug development
disease models",https://ocw.mit.edu/courses/mathematics/18-s190-introduction-to-computational-thinking-with-julia-with-applications-to-modeling-the-covid-19-pandemic-spring-2020
18.S190,Introduction to Metric Spaces,IAP,2023,"Metric Spaces
open sets
closed sets
finite sets
compact sets
convergence
Cauchy sequences
continuity
norms
topological compactness
sequential compactness
Banach fixed point theorem
Arzela-Ascoli theorem",
18.S191,Introduction to Computational Thinking,Fall,2020,"computational modeling
mathematical modeling
computational science
artificial intelligence
Julia programming
data science
algorithms
statistical modeling
image analysis
oarticle dynamics
ray tracing
epidemic propagation
climate modeling",https://ocw.mit.edu/courses/mathematics/18-s191-introduction-to-computational-thinking-fall-2020
18.S191,Introduction to Computational Thinking,Fall,2022,"computational modeling
mathematical modeling
computational science
artificial intelligence
Julia programming
data science
algorithms
statistical modeling
image analysis
oarticle dynamics
ray tracing
epidemic propagation
climate modeling",
18.S66,The Art of Counting,Spring,2003,"enumerative combinatorics, finite set, sum of positive integers, bijective proofs, bijection (one-to-one correspondence), permutations, partitions, Catalan numbers,Young tableaux, lattice paths and tilings,",https://ocw.mit.edu/courses/mathematics/18-s66-the-art-of-counting-spring-2003
18.S996,Category Theory for Scientists,Spring,2013,Sets; functions; commutative diagrams; products; coproducts; finite limits; monoids; groups; graphs; orders; schemas; instances; databases; categories; functors; mathematics; natural transformations; limits; colimits; adjoint functors; monads; operads; isomorphism; molecular dynamics; olog,https://ocw.mit.edu/courses/mathematics/18-s996-category-theory-for-scientists-spring-2013
18.S997,Introduction to MATLAB Programming,Fall,2011,"MATLAB,  programming; variables; plotting; scripts; functions; flow control; statistics; data structures; images; vectors; matrices; root-finding; Newton's Method; Secant Method; Basins of Attraction; Conway Game of Life; Game of Life; vectorization; debugging; scope; function block;",https://ocw.mit.edu/courses/mathematics/18-s997-introduction-to-matlab-programming-fall-2011
18.S997,High-dimensional Statistics ,Spring,2015,"High Dimensional Statistics, Random Variables, Linear Regression, Misspecified Linear Models, Matrix Estimation, Minmax Lower Bounds, Sub-Gaussian",https://ocw.mit.edu/courses/mathematics/18-s997-high-dimensional-statistics-spring-2015
18.S997,The Polynomial Method,Fall,2012,"polynomial method, combinatorics, Kakeya Problem, Incidence Geometry, Algebraic Structure, Cell Decompositions, Ruled Surfaces, Projection Theory, ",https://ocw.mit.edu/courses/mathematics/18-s997-the-polynomial-method-fall-2012
2.003J,Dynamics and Control I,Spring,2007,"dynamics and vibrations of lumped-parameter models; mechanical systems; Kinematics; Force-momentum formulation; systems of particles; rigid bodies in planar motion; Work-energy concepts; Virtual displacements; virtual work; Lagrange's equations; Linearization of equations of motion; Linear stability analysis; Free vibration; forced vibration; linear multi-degree of freedom models; matrix eigenvalue problems; numerical methods;MATLAB
",https://ocw.mit.edu/courses/mechanical-engineering/2-003j-dynamics-and-control-i-spring-2007
2.003J,Dynamics and Vibration (13.013J),Fall,2002,"lumped-parameter models, mechanical systems, Three-dimensional particle kinematics, Force-momentum formulation , Newton-Euler equations, Work-enery (variational) formulation, systems particles, rigid bodies (indirect method), Virtual displacements, Lagrange's equations, Linear stability analysis",https://ocw.mit.edu/courses/mechanical-engineering/13-013JDynamics-and-VibrationFall2002
2.003J,Dynamics and Control I,Fall,2007,dynamics and vibrations of lumped-parameter models; mechanical systems; Kinematics; Kane's method; Force-momentum formulation; systems of particles; rigid bodies in planar motion; Work-energy concepts; Virtual displacements; virtual work; Lagrange's equations; Linearization of equations of motion; Linear stability analysis; Free vibration; forced vibration; linear multi-degree of freedom models; matrix eigenvalue problems; numerical methods;MATLAB,https://ocw.mit.edu/courses/mechanical-engineering/2-003j-dynamics-and-control-i-fall-2007
2.003SC,Engineering Dynamics,Fall,2011,dynamics and vibrations; lumped-parameter models; kinematics; momentum; systems of particles and rigid bodies; work-energy concepts; virtual displacements and virtual work; Lagrange's equations;equations of motion; linear stability analysis; free and forced vibration; linear multi-degree of freedom models; matrix eigenvalue problems,https://ocw.mit.edu/courses/mechanical-engineering/2-003sc-engineering-dynamics-fall-2011
2.00AJ,"Exploring Sea, Space, & Earth: Fundamentals of Engineering Design",Spring,2009,"ROV, engineering design, aerospace, astronautics, ",https://ocw.mit.edu/courses/mechanical-engineering/2-00aj-exploring-sea-space-earth-fundamentals-of-engineering-design-spring-2009
2.00B,Toy Product Design,Spring,2008,product design; children;  entertainment; prototype;toy; toy design; dental hygeine; play; teach science; teach engineering; graphic design; sketch model; prototyping; play; innovation; automato; ,https://ocw.mit.edu/courses/mechanical-engineering/2-00b-toy-product-design-spring-2008
2.00b,Toy Product Design,Spring,2021,"toy
toy design
product design
graphic design
system design
sketch model
prototype
innovation
automato
teach science
teach engineering
dental hygiene",https://ocw.mit.edu/courses/mechanical-engineering/2-00b-toy-product-design-spring-2021/
2.017J,Design of Electromechanical Robotic Systems,Fall,2009,"optimization;  random environment; linear time invariant systems; navigation systems, engineering ethics, spectra; probability of failure; frequency response, Fourier transform, convolution, extreme events, feedback control, statistics, machine elements",https://ocw.mit.edu/courses/mechanical-engineering/2-017j-design-of-electromechanical-robotic-systems-fall-2009
2.034J,Nonlinear Dynamics and Waves,Spring,2007,nonlinear oscillations; wave phenomena; flow-structure interaction problems; nonlinear free and forced vibrations; nonlinear resonances; self-excited oscillations; lock-in phenomena; nonlinear dispersive and nondispersive waves; resonant wave interactions; propagation of wave pulses; nonlinear Schrodinger equation; nonlinear long waves and breaking; theory of characteristics; the Korteweg-de Vries equation; solitons and solitary wave interactions; stability of shear flows,https://ocw.mit.edu/courses/mechanical-engineering/2-034j-nonlinear-dynamics-and-waves-spring-2007
2.04A,Systems and Controls,Spring,2013,"systems, controls, ordinary differential equations, ODEs, differential equations, Laplace, transfer function, flywheel, circuits, impedance, feedback, root locus, linear systems, Laplace transforms, stability, frequency-domain, skyscaper
",https://ocw.mit.edu/courses/mechanical-engineering/2-04a-systems-and-controls-spring-2013
2.062j,Wave Propagation,Spring,2017,"wave propagation, elasticity, acoustics, geophysics, hydrodynamics, blood flow, progressive waves, group velocity, energy density, energy transport, reflection, refraction, elastic wave, Rayleigh waves.",https://ocw.mit.edu/courses/mechanical-engineering/2-062j-wave-propagation-fall-2006
2.080J,Structural Mechanics,Fall,2013,"vector, tensor, static equilibrium, strain, stress, Mohr's circle, elastic, virtual work, minimum total potential energy, beam deflections, energy method, shear stress, beam, shaft, experimental mechanics, stability, Rayleigh-Ritz quotient, column, buckling, load, plate, yield, plasticity, cylinder, fracture, implosion, submarine, Columbia Space Shuttle, BP, Deepwater Horizon, crashworthiness",https://ocw.mit.edu/courses/mechanical-engineering/2-080j-structural-mechanics-fall-2013
2.081J,Plates and Shells,Spring,2007,plates; shells; engineering strain; strain measure; bending moment; structural plasticity; membrane energy; green-lagrangian strain; bending theory of plates; buckling theory of plates; raleigh-ritz quotient; local buckling; plastic buckling; cylindrical shells; axial load; lateral pressure; hydrostatic pressure; torsion; bending boundary conditions; strain-displacement,https://ocw.mit.edu/courses/mechanical-engineering/2-081j-plates-and-shells-spring-2007
2.158J,Computational Geometry,Spring,2003,"surface modeling, b-splines, deformable surfaces, generalized cylinders, offsets, filleting surfaces, Non-linear solvers and intersection problems, Solid modeling, boundary representation, non-manifold and mixed-dimension boundary representation models, octrees, Interval methods, discretization methods, Scientific visualization, Variational geometry, Tolerances, Inspection methods, Shape interrogation",https://ocw.mit.edu/courses/mechanical-engineering/2-158j-computational-geometry-spring-2003
2.341J,Macromolecular Hydrodynamics ,Spring,2016,"non Newtonian Fluid, Rheology, extensional viscosity, polymeric liquids, linear viscoelasticity, entangled melts, Rouse/Zimm Theories, ordered fluid expansions, differential constitutive models, gels, gel rheology, suspension rheology",https://ocw.mit.edu/courses/mechanical-engineering/2-341j-macromolecular-hydrodynamics-spring-2016
2.58J,Radiative Transfer,Spring,2006,thermal radiation; heat transfer; photon transfer ;quantum modeling; materials; electromagnetic; thermal radiation; absorption; emitting media; scattering; laser; imaging;infrared; global warming; semiconductor manufacturing; combustion;furnace; high temperature processing;Drude; Lorenz; gas; dielectric; Monte Carlo; simulation; solar energy; solar power; solar cell,https://ocw.mit.edu/courses/mechanical-engineering/2-58j-radiative-transfer-spring-2006
2.60J,Fundamentals of Advanced Energy Conversion,Spring,2020,"chemistry
thermodynamics
transport processes
energy systems
energy conversion
power and transportation systems
efficiency
environmental impact
fossil fuels
fuel reforming
hydrogen resources
nuclear resources
renewable resources
fuel cells and batteries
combustion
hybrids
catalysis
supercritical and combined cycles
photovoltaics
energy storage and transmission
Optimal source utilization
fuel-life cycle analysis",https://ocw.mit.edu/courses/mechanical-engineering/2-60j-fundamentals-of-advanced-energy-conversion-spring-2020
2.717J,Optical Engineering,Spring,2002,"optical methods in engineering and system design; diffraction, statistical optics, holography, and imaging; Statistical Optics, Inverse Problems (i.e. theory of imaging); applications in precision engineering and metrology, bio-imaging, and computing (sensors, data storage, communication in multi-processor systems).",https://ocw.mit.edu/courses/mechanical-engineering/2-717j-optical-engineering-spring-2002
2.782J,Design of Medical Devices and Implants,Spring,2006,"clinical problems, implants, medical devices, cell-matrix control volumes, stress analysis, anatomic fit, biomaterials, surgical implantation procedures, Preclinical testing, risk/benefit ratio assessment, clinical performance, clinical trials, orthopedic devices, soft tissue implants, artificial organs, dental implants; stent; prosthesis; scaffold; bio-implant; scar; genetics; skin; nerve; bone; tooth; joint; FDA; FDA approval; cartilage; ACL; health; regulation; healthcare; medicine; bioengineering;",https://ocw.mit.edu/courses/mechanical-engineering/2-782j-design-of-medical-devices-and-implants-spring-2006
2.785J,Cell-Matrix Mechanics,Fall,2014,"cell
matrix
mechanics
tissue
organ
development
injury
stress field
cell function
deformed cells
biosynthetic activity
unit cell
connective tissue
cell biology
physiology
medicine
cytoplasm
extracellular matrix
skeleton
bone
",https://ocw.mit.edu/courses/mechanical-engineering/2-785j-cell-matrix-mechanics-fall-2014
2.830J,Control of Manufacturing Processes (SMA 6303),Spring,2008,"Process control, manufacturing process, discrete system feedback control theory, empirical and adaptive modeling, off-line optimization, statistical process control, real-time control, one-factor-at-a-time, robustness, Shewhart Hypothesis, semiconductor manufacturing",https://ocw.mit.edu/courses/mechanical-engineering/2-830j-control-of-manufacturing-processes-sma-6303-spring-2008
2.993J,Introduction to Numeric Analysis for Engineering (13.002J),Spring,2005,"digital computing, algorithm accuracy, error propagation, linear equations, iterative techniques, roots of equations, systems of equations, numerical interpolation, differentiation, integration, finite-difference solutions, differential equations, convergence analysis",https://ocw.mit.edu/courses/mechanical-engineering/2-993j-introduction-to-numerical-analysis-for-engineering-13-002j-spring-2005
2.A35,Biomimetic Principles and Design,Fall,2013,"biomimetics, biomimicry, biomimesis, nature, reverse engineering, bionics, adaptation, genetic algorithms, politics, design, imitate, fluid mechanics, fish, swim, submarine, complexity",https://ocw.mit.edu/courses/mechanical-engineering/2-a35-biomimetic-principles-and-design-fall-2013
2.S998,"Marine Autonomy, Sensing and Communications",Spring,2012,"autonomous marine vehicles; ocean environments; underwater vehicles; acoustic communication; undersea navigation; environmental sensing; acoustical, biological, and chemical sensing; modeling and control; simulation environments; programming; C++; MOOS",https://ocw.mit.edu/courses/mechanical-engineering/2-s998-marine-autonomy-sensing-and-communications-spring-2012
2.ThA,Undergraduate Thesis for Course 2-A,IAP,2007,"thesis, writing, mechanical engineering, technical writing, scientific writing, thesis proposal",https://ocw.mit.edu/courses/mechanical-engineering/2-tha-undergraduate-thesis-for-course-2-a-january-iap-2007
20.010J,Introduction to Bioengineering (BE.010),Spring,2006,"biological engineering, bioengineering, biomems,biomaterials, biomechanical engineering, biology, engineering, bioprocessing, biological materials, biological engineers",https://ocw.mit.edu/courses/biological-engineering/20-010j-introduction-to-bioengineering-be-010j-spring-2006
20.011J,Statistical Thermodynamics of Biomolecular Systems (BE.011J),Spring,2004,physical chemistry of biological systems; macroscopic thermodynamic properties;  microscopic molecular properties; statistical mechanics; chemical potentials; equilibrium states; binding cooperativity; behavior of macromolecules in solution and at interfaces; solvation; protein structure; genomic analysis; single molecule biomechanics; biomaterials,https://ocw.mit.edu/courses/biological-engineering/20-011j-statistical-thermodynamics-of-biomolecular-systems-be-011j-spring-2004
20.104J,Chemicals in the Environment: Toxicology and Public Health (BE.104J),Spring,2005,biostatistics; risk; risk analysis; risk factor; environmental agent; environetics; cause and effect; pollution; statistical analysis; toxic; pollution; genetics; disease; health; EPA; metabolism; endocrine; immunity; uncertainty; mortality; death rate; prediction;,https://ocw.mit.edu/courses/biological-engineering/20-104j-chemicals-in-the-environment-toxicology-and-public-health-be-104j-spring-2005
20.106J,Systems Microbiology,Fall,2006,"microbes, microbiology, systems perspective, early earth, microbial evolution, prokaryote, eukaryote, archaea, bacteria, immunology, epidemiology",https://ocw.mit.edu/courses/biological-engineering/20-106j-systems-microbiology-fall-2006
20.110J,Thermodynamics of Biomolecular Systems ,Fall,2005,"thermodynamics, biomolecular systems, equilibrium properties, first law of thermodynamics, second law of thermodynamics, third law of thermodynamics, thermochemistry, entropy, Gibbs function, chemical equilibrium, macromolecular structure, binding cooperativity",https://ocw.mit.edu/courses/biological-engineering/20-110j-thermodynamics-of-biomolecular-systems-fall-2005
20.310J,"Molecular, Cellular, and Tissue Biomechanics",Spring,2015,"biomechanics, molecular mechanics, cell mechanics, Brownian motion, Reynolds numbers, mechanochemistry, Kramers' model, Bell model,   viscoelasticity, poroelasticity, optical tweezers, extracellular matrix, collagen, proteoglycan, cell membrane, cell motility, mechanotransduction, cancer, biological systems, molecular biology, cell biology, cytoskeleton, cell, biophysics, cell migration, biomembrane, tissue mechanics, rheology, polymer, length scale, muscle mechanics, experimental methods",https://ocw.mit.edu/courses/biological-engineering/20-310j-molecular-cellular-and-tissue-biomechanics-spring-2015
20.330J,"Fields, Forces and Flows in Biological Systems",Spring,2007,hydrodynamic flow; electroosmosis; diffusion; electrophoresis; reaction; membrane; cell; biomolecule; microfluidics; ion transport; electrokinetics; Debye layer; Zeta potential; inviscid flow; viscous flow; tissue; organ; biology; molecular biology; Maxwell's equations; electro-quasistatics; Van der Waals; bioMEMS;,https://ocw.mit.edu/courses/biological-engineering/20-330j-fields-forces-and-flows-in-biological-systems-spring-2007
20.380J,Biological Engineering Design,Spring,2010,inflammation; biomedical engineering; cancer; diabetes; obesity; cardiovascular disease; biomedical entrepreneurship; biomedical startup;,https://ocw.mit.edu/courses/biological-engineering/20-380j-biological-engineering-design-spring-2010
20.400J,Perspectives in Biological Engineering,Spring,2006,"integration of biological information and methodologies,  engineering analysis, synthesis, design, molecular mechanisms underlying cellular processes, signal transduction, gene expression networks,  functional responses",https://ocw.mit.edu/courses/biological-engineering/20-400j-perspectives-in-biological-engineering-spring-2006
20.410J,"Molecular, Cellular and Tissue Biomechanics (BE.410J)",Spring,2003,"Scaling laws; continuum mechanics; biomechanical phenomena; length scales; tissue structure; molecular basis for macroscopic properties; chemical and electrical effects on mechanical behavior; cell mechanics, motility and adhesion; biomembranes; biomolecular mechanics and molecular motors; Experimental methods.",https://ocw.mit.edu/courses/biological-engineering/20-410j-molecular-cellular-and-tissue-biomechanics-be-410j-spring-2003
20.416J,Topics in Biophysics and Physical Biology,Fall,2014,"computational biology
science
research
genome
chromatin
fellowship
proposal
grad school
graduate school
nano
writing
journal
article
abstract
peer review
critique
manuscript
talk
presentation
ethics
cv
curriculum vitae
",https://ocw.mit.edu/courses/biological-engineering/20-416j-topics-in-biophysics-and-physical-biology-fall-2014
20.420J,Biomolecular Kinetics and Cellular Dynamics (BE.420J),Fall,2004,"receptor, ligand, signaling, enzyme, binding, hybridization, cell, dynamics, metabolism, regulation, kinetics",https://ocw.mit.edu/courses/biological-engineering/20-420j-biomolecular-kinetics-and-cellular-dynamics-be-420j-fall-2004
20.430J,"Fields, Forces, and Flows in Biological Systems",Fall,2015,"diffusion
molecular diffusion
diffusion-reaction
conduction
convection
biological systems
fields
electrical double layers
Maxwell stress tensor
physiological systems
fluid
solid
equations of motion
case study
electrode interfaces
transduction
random walk
Stokes-Einstein
Fick's laws
reaction
Damköhler number
",https://ocw.mit.edu/courses/biological-engineering/20-430j-fields-forces-and-flows-in-biological-systems-fall-2015
20.441J,Biomaterials-Tissue Interactions,Fall,2009,medical implants; tissue engineering; unit cell process; wound healing; joint replacement; extracellular matrix; biocompatibility;,https://ocw.mit.edu/courses/biological-engineering/20-441j-biomaterials-tissue-interactions-fall-2009
20.453J,Biomedical Information Technology,Fall,2008,imaging; medical imaging; metadata; molecular biology; medical records; DICOM; RDF; OWL; SPARQL; SBML; CellML; semantic web; BioHaystack; database; schema; ExperiBase; genomics; proteomics; bioinformatics; computational biology; clinical decision support; clinical trial; microarray; gel electrophoresis; diagnosis; pathway modeling; XML; SQL; relational database; biological data; ontologies; drug development; drug discovery; drug target; pharmaceutical; gene sequencing,https://ocw.mit.edu/courses/biological-engineering/20-453j-biomedical-information-technology-fall-2008
20.462J,Molecular Principles of Biomaterials,Spring,2006,"biomaterials, biomaterial engineering, biotechnology, cell-guiding surface, molecular biomaterials, drug release, polymers, pulsatile release, polymerization, polyer erosion, tissue engineering, hydrogels, adhesion, migration, drug diffusion, molecular switches, molecular motors, nanoparticles, microparticles, vaccines, drug targeting, micro carriers, nano carriers, intracellular drug delivery",https://ocw.mit.edu/courses/biological-engineering/20-462j-molecular-principles-of-biomaterials-spring-2006
20.482J,Foundations of Algorithms and Computational Techniques in Systems Biology,Spring,2006,"systems biology, algorithms, computational techniques, protein modeling, discrete conformational search, molecular dynamics, electrostatics, network models, deconvolution, nonlinear dynamics",https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/20-482j-foundations-of-algorithms-and-computational-techniques-in-systems-biology-spring-2006
21A.00,Introduction to Anthropology,Spring,2013,anthropology; Social Science; humanities; culture; society; gender; ethnicity; race; language; politics; economics; art; identity; Capoeira; tradition; modernity; communication; identity; expressive culture; magic;  ,https://ocw.mit.edu/courses/anthropology/21a-00-introduction-to-anthropology-spring-2013
21A.00,"Introduction to Anthropology
",Spring,2022,"human origins
social evolution
human nature
ethnographic methods
politics and ritual
ritual and expressive culture
city as theater
uncertainty
precarity
futurity",https://ocw.mit.edu/courses/anthropology/21a-00-introduction-to-anthropology-spring-2022
21A.01,How Culture Works,Fall,2019,"culture
family
things
creation
circulation
persons
agents
selves
possessions
ethnography
",https://ocw.mit.edu/courses/anthropology/21a-01-how-culture-works-fall-2019
21A.104,"Memory, Culture, Forgetting",Spring,2016,"memory; culture; the past; memorials; symbols; rituals, internet; social media; social memory; biology; neuroscience; medicine; ethnography; Masada; slavery; war memorials; Lenin; tragic spirits; forgetting;",https://ocw.mit.edu/courses/anthropology/21a-104-memory-culture-forgetting-spring-2016
21A.110,Anthropological Theory,Spring,2003,"anthropology, anthropological theory, anthropological method, frameworks, analysis, integration, cultural anthropology, classic texts, contemporary critiques, analyses of texts",https://ocw.mit.edu/courses/anthropology/21a-110-anthropological-theory-spring-2003
21A.111J,For Love and Money: Rethinking the Family,Spring,2016,"family, sex, gender, anthropology, household, sexuality, social institutions",https://ocw.mit.edu/courses/anthropology/21a-111j-for-love-and-money-rethinking-the-family-spring-2016
21A.112,Seminar in Ethnography and Fieldwork,Spring,2008,fieldwork; anthropology; ethnography; culture; theory; data analysis; research design; interviewing; method; student work; military anthropology; controversies; ,https://ocw.mit.edu/courses/anthropology/21a-112-seminar-in-ethnography-and-fieldwork-spring-2008
21A.120,American Dream: Using Storytelling to Explore Social Class in the United States,Spring,2018,"American Dream;
social class;
mobility;
immigration;
storytelling;
oral history;
memoir;
auto-ethnographies;
race;
ethnicity;
gender;
Studs Terkel;
Zora Neale Hurston;
Exit Zero;
Didier Eribon;
Alessandro Portelli;
William Sewell;
Chole Island;
Southeast Chicago Historical Museum;

",https://ocw.mit.edu/courses/anthropology/21a-120-american-dream-using-storytelling-to-explore-social-class-in-the-united-states-spring-2018
21A.150,Teaching and Learning: Cross-Cultural Perspectives,Fall,2014,"teaching, learning, culture, cross-cultural perspectives, subcultures, schooling, initiation, apprenticeship, education, online education, MOOCs, interviewing, observation, ethnography, discourse analysis, socialization, social learning, ritual, rites of passage, imitation, improvisation, creativity, language, personhood, identity, cognition, perception",https://ocw.mit.edu/courses/anthropology/21a-150-teaching-and-learning-cross-cultural-perspectives-fall-2014
21A.155,"Food, Culture, and Politics",Fall,2019,"food
culture
politics
waste
taste
good food
food preparation
food consumption
economy
Thanksgiving
agriculture
hunger
nutrition
medicine
gastropolitics",https://ocw.mit.edu/courses/anthropology/21a-155-food-culture-politics-fall-2019
21A.157,The Meaning of Life,Spring,2019,"family
marriage
parenting
life
reciprocity
money
wealth
work
sex
self-cultivation
talent
beauty
mindfulness
belonging
citizenship
loss
crisis
faith
religion
community",https://ocw.mit.edu/courses/anthropology/21a-157-the-meaning-of-life-spring-2019
21A.211,"Magic, Witchcraft, and the Spirit World",Fall,2003,,https://ocw.mit.edu/courses/anthropology/21a-211-magic-witchcraft-and-the-spirit-world-fall-2003
21A.212,"Myth, Ritual, and Symbolism",Spring,2004,anthropology; myth; ritual; symbolism; animals; symbolic system; meaning; life cycle; metaphor; figurative language; human body; cosmology; ritual; magic; narrative; mythology; patterns,https://ocw.mit.edu/courses/anthropology/21a-212-myth-ritual-and-symbolism-spring-2004
21A.215,"Disease and Health: Culture, Society, and Ethics",Spring,2012,"history of medicine, sickness, healing, disease causation, beliefs, disease treatment, institutions of medicine",https://ocw.mit.edu/courses/anthropology/21a-215-disease-and-health-culture-society-and-ethics-spring-2012
21A.217,Anthropology of War and Peace,Fall,2004,"anthropology, war, peace, f humans are by nature warlike, the evolution of war in cross-cultural perspective, the socialization of warriors and the construction of enemies, and the recent emergence of anti-war movements, sociobiological and other theories of war, ethnic hatred and civil war in Rwanda, Bosnia, and Northern Ireland; military culture in the U.S. and elsewhere; peace movements; and studies of military conversion",https://ocw.mit.edu/courses/anthropology/21a-217-anthropology-of-war-and-peace-fall-2004
21A.218J,Identity and Difference,Spring,2010,class; social interaction; discourse; performance; bodies; conformity; deviance; gender; biology; culture; race; constructivism; essentialism; structuralism; incarceration; religion; food; group membership; sexuality; ethnicity; institution; identity formation; stigma; ,https://ocw.mit.edu/courses/anthropology/21a-218j-identity-and-difference-spring-2010
21A.219,Law and Society,Spring,2003,"legal reasoning, legal systems, social class, social change,  practice of law, legal education, law and science",https://ocw.mit.edu/courses/anthropology/21a-219-law-and-society-spring-2003
21A.226,Ethnic and National Identity,Fall,2011,"ethnicity, culture, race, oppression, social structures, transnationalism, globalization, ethnic conflict",https://ocw.mit.edu/courses/anthropology/21a-226-ethnic-and-national-identity-fall-2011
21A.231J,"Gender, Sexuality, and Society",Spring,2006,"gender, sexuality, marriage, nationalism, race, class, sex, globalization, professionalization, agency, appetite, identity, transvestite, transgender, intersexuality, motherhood, fetus, sexism",https://ocw.mit.edu/courses/anthropology/21a-231j-gender-sexuality-and-society-spring-2006
21A.240,Race and Science,Spring,2004,race; eugenics; scientific racism; racial hygiene; racial economy; human biodiversity; apartheid; race and gender; monogenist; polygenist; alchemy of race; nazi medicine; nazi racism; sociology of science; race and culture; genetic engineering; raciology;,https://ocw.mit.edu/courses/anthropology/21a-240-race-and-science-spring-2004
21A.245J,"Power: Interpersonal, Organizational and Global Dimensions",Fall,2005,Anthropology; power; interpersonal; organizational; global; dimensions; sociology classical; contemporary; social theory; dominant; subordinate; relationships; legitimate authority; resistance; control; decisions; family; work; democracies; will; people. ,https://ocw.mit.edu/courses/anthropology/21a-245j-power-interpersonal-organizational-and-global-dimensions-fall-2005
21A.260,"Culture, Embodiment and the Senses",Fall,2005,Anthropology; culture; embodiment; senses; historical; cross-cultural analysis; politics; sensory experience; western philosophical debates;mind; brain; emotion; body; sight; reason; rationality; smell; taste; touch; knowing; knowledge production; scientific interpretations; western philosophical; physiological models; individual physiological;  psychological responses;  social relations; power relations.,https://ocw.mit.edu/courses/anthropology/21a-260-culture-embodiment-and-the-senses-fall-2005
21A.270,Anthropology Through Speculative Fiction,Fall,2009,"speculative fiction, vampires, cyborgs, utopias, dystopias, time travel, sexuality, gender, futurism, reproduction, extraterrestrials, race, religion, alienation, cultural studies",https://ocw.mit.edu/courses/anthropology/21a-270-anthropology-through-speculative-fiction-fall-2009
21A.302J,Dilemmas in Bio-Medical Ethics: Playing God or Doing Good?,Fall,2013,bio-medical ethics; medical technologies; biotechnologies; halth; sexuality; morality; race; ethnicity; kinship; gender; abortion; contraception; reproductive technologies; pharmaceuticals; end of life care; healing practices; anthropology; medical experimentation; sterilization; Lynchburg; biological citizenship; clinical trials; ,https://ocw.mit.edu/courses/anthropology/21a-302j-dilemmas-in-bio-medical-ethics-playing-god-or-doing-good-fall-2013
21A.303J,Anthropology of Biology,Fall,2013,"biology, anthropology of biology, biopolitics, bioethics, biodiversity, biotechnology",https://ocw.mit.edu/courses/anthropology/21a-303j-anthropology-of-biology-fall-2013
21A.303J,The Anthropology of Biology,Spring,2022,"life
evolutionary narratives
epidemiological dramaturgy
race
racism
biopolitics
reproduction
biology
health disparities
organisms
alien ocean",
21A.336,"Marketing, Microchips and McDonalds: Debating Globalization",Spring,2004,anthropology; marketing; globalization; culture; class; economic status; social dynamics; technology; capitalism; java; amazon; france; united states; bombay; india; japan; immigration; film; workers; tourism; factory labor,https://ocw.mit.edu/courses/anthropology/21a-336-marketing-microchips-and-mcdonalds-debating-globalization-spring-2004
21A.338J,"Gender, Power, and International Development",Fall,2003,anthropology; gender; power; international development; inequlaity; poverty; economics; political policy; women's studies; government; africa; latin america; asia; melanesia; social policy; urban; rural,https://ocw.mit.edu/courses/anthropology/21a-338j-gender-power-and-international-development-fall-2003
21A.342,Environmental Struggles,Fall,2004,Anthropology; environment; struggle; humans; conflict; access; use; nature; world; readings; films; land rights; hunting; fishing; regulations; knowledge; scientific; popular; hazardous waste; social; economic; political; cultural; European thought; ethnographic; historical; East Africa; South Asia; Eastern Europe; Latin America; North America.,https://ocw.mit.edu/courses/anthropology/21a-342-environmental-struggles-fall-2004
21A.348,Photography and Truth,Spring,2008,Photography; anthropology; culture; subject and treatment of image; art; ethnographic documentation; ethnography; documentary; taking pictures; ,https://ocw.mit.edu/courses/anthropology/21a-348-photography-and-truth-spring-2008
21A.350J,Cultures of Computing,Fall,2011,"women in computing, computers, computer history, robotics, artificial intelligence, history of technology",https://ocw.mit.edu/courses/anthropology/21a-350j-cultures-of-computing-fall-2011
21A.360J,The Anthropology of Sound,Spring,2008,sound art; Jacques Attali; music; musicology; post-modern; recording; ethnomusicology; ethnography; soundscape; voice; audio; sonic space; science sound; cultural studies;,https://ocw.mit.edu/courses/anthropology/21a-360j-the-anthropology-of-sound-spring-2008
21A.429J,Environmental Conflict,Fall,2016,environmental conflict; nature conservation; toxic pollution; health effects; climate change; natural gas; the Anthropocene; glaciers; ecology; agency; humans; non-humans; ontology; species; ethnography; toxics; endocrine disruptors; epigenics; environmental health; fracking;,https://ocw.mit.edu/courses/anthropology/21a-429j-environmental-conflict-fall-2016
